time;inertia.phi;springDamper.tau
1.32000000000000E+01;2.62151218182316E-01;3.10036635200784E-03
1.32600000000000E+01;2.62120833855223E-01;2.62441389612571E-03
1.33200000000000E+01;2.62081021738299E-01;2.08476306995357E-03
1.33800000000000E+01;2.62033717850989E-01;1.50392306409318E-03
1.34400000000000E+01;2.61981006419445E-01;9.04526771443384E-04
1.35000000000000E+01;2.61925038639246E-01;3.08535160380807E-04
1.35600000000000E+01;2.61867953837186E-01;-2.63488601204527E-04
1.36200000000000E+01;2.61811805638749E-01;-7.93014047900316E-04
1.36800000000000E+01;2.61758495421641E-01;-1.26407052694445E-03
1.37400000000000E+01;2.61709714949157E-01;-1.66365443334250E-03
1.38000000000000E+01;2.61666899647034E-01;-1.98200936637678E-03
1.38600000000000E+01;2.61631193531443E-01;-2.21277685035037E-03
1.39200000000000E+01;2.61603426331180E-01;-2.35301990865543E-03
1.39800000000000E+01;2.61584102890731E-01;-2.40312607608598E-03
1.40400000000000E+01;2.61573404507997E-01;-2.36660025053570E-03
1.41000000000000E+01;2.61571201464919E-01;-2.24976101685447E-03
1.41600000000000E+01;2.61577075662497E-01;-2.06135664410034E-03
1.42200000000000E+01;2.61590351983172E-01;-1.81211881191613E-03
1.42800000000000E+01;2.61610136779673E-01;-1.51427323926009E-03
1.43400000000000E+01;2.61635361734465E-01;-1.18102677322125E-03
1.44000000000000E+01;2.61664831249121E-01;-8.26050176442351E-04
1.44600000000000E+01;2.61697271507178E-01;-4.62974880916350E-04
1.45200000000000E+01;2.61731379403877E-01;-1.04920425301310E-04
1.45800000000000E+01;2.61765869646090E-01;2.35932749694083E-04
1.46400000000000E+01;2.61799518488253E-01;5.48712908153766E-04
1.47000000000000E+01;2.61831202776719E-01;8.24159507689418E-04
1.47600000000000E+01;2.61859933215694E-01;1.05485194235266E-03
1.48200000000000E+01;2.61884881032506E-01;1.23536086702424E-03
1.48800000000000E+01;2.61905397497803E-01;1.36232134138698E-03
1.49400000000000E+01;2.61921026036880E-01;1.43442979940358E-03
1.50000000000000E+01;2.61931506941794E-01;1.45236938694170E-03
1.50600000000000E+01;2.61936774951108E-01;1.41867044087368E-03
1.51200000000000E+01;2.61936950197032E-01;1.33751474783057E-03
1.51800000000000E+01;2.61932323221659E-01;1.21449367603735E-03
1.52400000000000E+01;2.61923334929712E-01;1.05633129260663E-03
1.53000000000000E+01;2.61910552471123E-01;8.70584151091687E-04
1.53600000000000E+01;2.61894642130628E-01;6.65329566197387E-04
1.54200000000000E+01;2.61876340343134E-01;4.48853905256945E-04
1.54800000000000E+01;2.61856423953708E-01;2.29351753942174E-04
1.55400000000000E+01;2.61835680802186E-01;1.46458024033235E-05
1.56000000000000E+01;2.61814881638184E-01;-1.88063997267763E-04
1.56600000000000E+01;2.61794754267364E-01;-3.72414969120372E-04
1.57200000000000E+01;2.61775960699611E-01;-5.33054588180316E-04
1.57800000000000E+01;2.61759077920304E-01;-6.65768096749196E-04
1.58400000000000E+01;2.61744582743481E-01;-7.67559052865026E-04
1.59000000000000E+01;2.61732841036778E-01;-8.36682746655731E-04
1.59600000000000E+01;2.61724101438842E-01;-8.72634065890272E-04
1.60200000000000E+01;2.61718493526388E-01;-8.76092886721917E-04
1.60800000000000E+01;2.61716030235570E-01;-8.48831366042184E-04
1.61400000000000E+01;2.61716614205509E-01;-7.93588584114704E-04
1.62000000000000E+01;2.61720047594536E-01;-7.13918806148695E-04
1.62600000000000E+01;2.61726044824921E-01;-6.14020185304801E-04
1.63200000000000E+01;2.61734247641543E-01;-4.98551013563524E-04
1.63800000000000E+01;2.61744241825136E-01;-3.72440646712773E-04
1.64400000000000E+01;2.61755574881543E-01;-2.40702000148667E-04
1.65000000000000E+01;2.61767774033901E-01;-1.08252055733809E-04
1.65600000000000E+01;2.61780363873355E-01;2.02538342414407E-05
1.66200000000000E+01;2.61792883073336E-01;1.40568877596076E-04
1.66800000000000E+01;2.61804899639681E-01;2.48978982018222E-04
1.67400000000000E+01;2.61816024250669E-01;3.42401107136492E-04
1.68000000000000E+01;2.61825921333501E-01;4.18453904887928E-04
1.68600000000000E+01;2.61834317623243E-01;4.75499801596451E-04
1.69200000000000E+01;2.61841008052712E-01;5.12658719284527E-04
1.69800000000000E+01;2.61845858923602E-01;5.29794610232975E-04
1.70400000000000E+01;2.61848808406747E-01;5.27476857437314E-04
1.71000000000000E+01;2.61849864509669E-01;5.06919349621424E-04
1.71600000000000E+01;2.61849100729738E-01;4.69900653564634E-04
1.72200000000000E+01;2.61846649679180E-01;4.18669165614829E-04
1.72800000000000E+01;2.61842695022139E-01;3.55837421399308E-04
1.73400000000000E+01;2.61837462102992E-01;2.84269876985809E-04
1.74000000000000E+01;2.61831207668615E-01;2.06968450953186E-04
1.74600000000000E+01;2.61824209095401E-01;1.26959944946119E-04
1.75200000000000E+01;2.61816753525152E-01;4.71891550361934E-05
1.75800000000000E+01;2.61809127293620E-01;-2.95789341184458E-05
1.76400000000000E+01;2.61801606002892E-01;-1.00844994282750E-04
1.77000000000000E+01;2.61794445545959E-01;-1.64446944099712E-04
1.77600000000000E+01;2.61787874340664E-01;-2.18615621435438E-04
1.78200000000000E+01;2.61782086973109E-01;-2.62013525459067E-04
1.78800000000000E+01;2.61777239389868E-01;-2.93756265045841E-04
1.79400000000000E+01;2.61773445716257E-01;-3.13416973664689E-04
1.80000000000000E+01;2.61770776716790E-01;-3.21014529153580E-04
1.80600000000000E+01;2.61769259855793E-01;-3.16986932075213E-04
1.81200000000000E+01;2.61768880862859E-01;-3.02151634529225E-04
1.81800000000000E+01;2.61769586660954E-01;-2.77654961491616E-04
1.82400000000000E+01;2.61771289475799E-01;-2.44913021939074E-04
1.83000000000000E+01;2.61773871914578E-01;-2.05546663846581E-04
1.83600000000000E+01;2.61777192780577E-01;-1.61313085847240E-04
1.84200000000000E+01;2.61781093378349E-01;-1.14036682618625E-04
1.84800000000000E+01;2.61785404061176E-01;-6.55415776536429E-05
1.85400000000000E+01;2.61789950778647E-01;-1.75880953496600E-05
1.86000000000000E+01;2.61794561396247E-01;2.81848440238839E-05
1.86600000000000E+01;2.61799071580095E-01;7.03097448125495E-05
1.87200000000000E+01;2.61803330067178E-01;1.07531671214047E-04
1.87800000000000E+01;2.61807203173260E-01;1.38839581884719E-04
1.88400000000000E+01;2.61810578425860E-01;1.63487343231887E-04
1.89000000000000E+01;2.61813367246700E-01;1.81004290593757E-04
1.89600000000000E+01;2.61815506645536E-01;1.91195578233579E-04
1.90200000000000E+01;2.61816959923968E-01;1.94132900734036E-04
1.90800000000000E+01;2.61817716422372E-01;1.90136469879591E-04
1.91400000000000E+01;2.61817790374500E-01;1.79749384211819E-04
1.92000000000000E+01;2.61817218961647E-01;1.63705727219674E-04
1.92600000000000E+01;2.61816059680759E-01;1.42893870774963E-04
1.93200000000000E+01;2.61814387158161E-01;1.18316541421046E-04
1.93800000000000E+01;2.61812289552171E-01;9.10492291876157E-05
1.94400000000000E+01;2.61809864693861E-01;6.21984843021447E-05
1.95000000000000E+01;2.61807216115673E-01;3.28615610775835E-05
1.95600000000000E+01;2.61804449112746E-01;4.08873631486829E-06
1.96200000000000E+01;2.61801666972261E-01;-2.31505409210554E-05
1.96800000000000E+01;2.61798967492378E-01;-4.79967121368921E-05
1.97400000000000E+01;2.61796439895143E-01;-6.97236513250808E-05
1.98000000000000E+01;2.61794162217968E-01;-8.77561874353818E-05
1.98600000000000E+01;2.61792199246672E-01;-1.01681347646788E-04
1.99200000000000E+01;2.61790601030545E-01;-1.11253295518439E-04
1.99800000000000E+01;2.61789401997249E-01;-1.16392159279391E-04
2.00400000000000E+01;2.61788620663470E-01;-1.17177146952157E-04
2.01000000000000E+01;2.61788259916673E-01;-1.13834520930059E-04
2.01600000000000E+01;2.61788307824902E-01;-1.06721150362973E-04
2.02200000000000E+01;2.61788738915643E-01;-9.63044718738709E-05
2.02800000000000E+01;2.61789515851883E-01;-8.31397658977727E-05
2.03400000000000E+01;2.61790591423845E-01;-6.78456965959957E-05
2.04000000000000E+01;2.61791910768626E-01;-5.10790685432662E-05
2.04600000000000E+01;2.61793413727140E-01;-3.35097251820647E-05
2.05200000000000E+01;2.61795037248268E-01;-1.57964551969197E-05
2.05800000000000E+01;2.61796717753715E-01;1.43531259723647E-06
2.06400000000000E+01;2.61798393383476E-01;1.76133530202744E-05
2.07000000000000E+01;2.61800006050660E-01;3.22354790641412E-05
2.07600000000000E+01;2.61801503245172E-01;4.48829560439605E-05
2.08200000000000E+01;2.61802839538076E-01;5.52302273178140E-05
2.08800000000000E+01;2.61803977751653E-01;6.30508276141755E-05
2.09400000000000E+01;2.61804889773868E-01;6.82195000519829E-05
2.10000000000000E+01;2.61805557009598E-01;7.07106642361980E-05
2.10600000000000E+01;2.61805970474047E-01;7.05935013270149E-05
2.11200000000000E+01;2.61806130545944E-01;6.80240243647180E-05
2.11800000000000E+01;2.61806046408938E-01;6.32345856801289E-05
2.12400000000000E+01;2.61805735218809E-01;5.65213361938165E-05
2.13000000000000E+01;2.61805221041474E-01;4.82301927514502E-05
2.13600000000000E+01;2.61804533612142E-01;3.87418892432187E-05
2.14200000000000E+01;2.61803706969253E-01;2.84566856176876E-05
2.14800000000000E+01;2.61802778018085E-01;1.77792873773505E-05
2.15400000000000E+01;2.61801785078159E-01;7.10448863345548E-06
2.16000000000000E+01;2.61800766465997E-01;-3.19600329545180E-06
2.16600000000000E+01;2.61799759160530E-01;-1.27851716106237E-05
2.17200000000000E+01;2.61798797592843E-01;-2.13704094013347E-05
2.17800000000000E+01;2.61797912595173E-01;-2.87111258452392E-05
2.18400000000000E+01;2.61797130536484E-01;-3.46240973714765E-05
2.19000000000000E+01;2.61796472663887E-01;-3.89865087183699E-05
2.19600000000000E+01;2.61795954660825E-01;-4.17367125264608E-05
2.20200000000000E+01;2.61795586424820E-01;-4.28728138837463E-05
2.20800000000000E+01;2.61795372059711E-01;-4.24492558339834E-05
2.21400000000000E+01;2.61795310070171E-01;-4.05716412291885E-05
2.22000000000000E+01;2.61795393739940E-01;-3.73900740429611E-05
